t_sec,t_nanosec,s1_fx,s1_fy,s1_fz,s1_tx,s1_ty,s1_tz,s1_stamp_sec,s1_stamp_nsec,s2_fx,s2_fy,s2_fz,s2_tx,s2_ty,s2_tz,s2_stamp_sec,s2_stamp_nsec,s3_fx,s3_fy,s3_fz,s3_tx,s3_ty,s3_tz,s3_stamp_sec,s3_stamp_nsec,ee_px,ee_py,ee_pz,ee_stamp_sec,ee_stamp_nsec,ee_mf_px,ee_mf_py,ee_mf_pz,ee_mf_stamp_sec,ee_mf_stamp_nsec,ee_th_px,ee_th_py,ee_th_pz,ee_th_stamp_sec,ee_th_stamp_nsec,deform_circ,deform_circ_stamp_sec,deform_circ_stamp_nsec,deform_ecc,deform_ecc_stamp_sec,deform_ecc_stamp_nsec,emg_ch1,emg_ch2,emg_ch3,emg_ch4,emg_ch5,emg_ch6,emg_ch7,emg_ch8,emg_stamp_sec,emg_stamp_nsec
1763329098,160142972,0.060239,0.035053,-0.048548,0.000485,0.001123,0.000002,1763329098,160142972,-0.012645,0.006797,0.030837,-0.000295,-0.000088,-0.000290,1763329098,160142972,0.148924,0.014346,0.100791,0.000754,-0.000121,0.000417,1763329098,160142972,0.066692,0.037527,0.362329,1763329098,160142972,0.066692,0.037527,0.362329,1763329098,160142972,-0.099810,0.057708,0.353372,1763329098,160142972,0.884643,1763329098,160142972,0.274919,1763329098,160142972,38.000000,102.000000,147.000000,25.000000,23.000000,25.000000,23.000000,25.000000,1763329098,160142972
1763329098,165523144,0.071239,0.058053,-0.026548,0.000315,0.001243,-0.000188,1763329098,165523144,-0.013645,0.007797,-0.020163,-0.000155,-0.000038,-0.000190,1763329098,165523144,0.157924,0.014346,0.123791,0.000774,-0.000091,0.000827,1763329098,165523144,0.066692,0.037527,0.362329,1763329098,165523144,0.066692,0.037527,0.362329,1763329098,165523144,-0.099810,0.057708,0.353372,1763329098,165523144,0.884643,1763329098,165523144,0.274919,1763329098,165523144,38.000000,102.000000,147.000000,25.000000,23.000000,25.000000,23.000000,25.000000,1763329098,165523144
1763329098,170574046,0.047239,0.058053,-0.004548,0.000295,0.000933,-0.000558,1763329098,170574046,-0.015645,0.004797,0.024837,-0.000295,0.000262,-0.000110,1763329098,170574046,0.133924,0.013346,0.096791,0.000634,-0.000251,0.000827,1763329098,170574046,0.066692,0.037527,0.362329,1763329098,170574046,0.066692,0.037527,0.362329,1763329098,170574046,-0.099810,0.057708,0.353372,1763329098,170574046,0.884643,1763329098,170574046,0.274919,1763329098,170574046,38.000000,102.000000,147.000000,25.000000,23.000000,25.000000,23.000000,25.000000,1763329098,170574046
1763329098,175411217,0.032239,0.062053,-0.057548,0.000265,0.000603,-0.000428,1763329098,175411217,-0.016645,0.000797,0.020837,-0.000225,0.000192,-0.000010,1763329098,175411217,0.142924,0.001346,0.103791,0.000814,0.000019,0.001197,1763329098,175411217,0.066692,0.037527,0.362329,1763329098,175411217,0.066692,0.037527,0.362329,1763329098,175411217,-0.099810,0.057708,0.353372,1763329098,175411217,0.884643,1763329098,175411217,0.274919,1763329098,175411217,37.000000,104.000000,145.000000,21.000000,21.000000,22.000000,22.000000,22.000000,1763329098,175411217
1763329098,181049272,0.037239,0.074053,-0.040548,0.000505,0.000543,0.000072,1763329098,181049272,-0.027645,-0.008203,0.046837,-0.000155,0.000102,0.000310,1763329098,181049272,0.130924,0.019346,0.136791,0.000614,-0.000131,0.000367,1763329098,181049272,0.066667,0.037513,0.362342,1763329098,181049272,0.066667,0.037513,0.362342,1763329098,181049272,-0.098139,0.056740,0.353411,1763329098,181049272,0.883810,1763329098,181049272,0.278858,1763329098,181049272,37.000000,104.000000,145.000000,21.000000,21.000000,22.000000,22.000000,22.000000,1763329098,181049272
1763329098,185784986,0.040239,0.041053,-0.034548,0.000425,0.000703,-0.000158,1763329098,185784986,-0.046645,0.020797,0.013837,-0.000305,-0.000238,0.000440,1763329098,185784986,0.127924,0.021346,0.122791,0.000664,-0.000151,0.000517,1763329098,185784986,0.066667,0.037513,0.362342,1763329098,185784986,0.066667,0.037513,0.362342,1763329098,185784986,-0.098139,0.056740,0.353411,1763329098,185784986,0.883810,1763329098,185784986,0.278858,1763329098,185784986,37.000000,97.000000,138.000000,22.000000,22.000000,23.000000,23.000000,24.000000,1763329098,185784986
1763329098,190760973,0.054239,0.068053,-0.017548,0.000315,0.000783,-0.000368,1763329098,190760973,-0.020645,-0.002203,0.007837,-0.000145,0.000072,0.000120,1763329098,190760973,0.139924,0.031346,0.115791,0.000644,-0.000021,-0.000013,1763329098,190760973,0.066667,0.037513,0.362342,1763329098,190760973,0.066667,0.037513,0.362342,1763329098,190760973,-0.098139,0.056740,0.353411,1763329098,190760973,0.883810,1763329098,190760973,0.278858,1763329098,190760973,37.000000,97.000000,138.000000,22.000000,22.000000,23.000000,23.000000,24.000000,1763329098,190760973
1763329098,196062767,0.035239,0.057053,-0.029548,0.000355,0.000613,-0.000118,1763329098,196062767,-0.001645,0.016797,0.003837,-0.000265,0.000192,0.000130,1763329098,196062767,0.131924,0.022346,0.117791,0.000784,-0.000031,0.000077,1763329098,196062767,0.066667,0.037513,0.362342,1763329098,196062767,0.066667,0.037513,0.362342,1763329098,196062767,-0.098139,0.056740,0.353411,1763329098,196062767,0.883810,1763329098,196062767,0.278858,1763329098,196062767,37.000000,97.000000,138.000000,22.000000,22.000000,23.000000,23.000000,24.000000,1763329098,196062767
1763329098,200587273,0.034239,0.045053,-0.039548,0.000475,0.000643,-0.000228,1763329098,200587273,-0.024645,-0.024203,-0.008163,-0.000185,-0.000098,-0.000160,1763329098,200587273,0.100924,0.022346,0.094791,0.000664,-0.000541,0.000717,1763329098,200587273,0.066752,0.037562,0.362299,1763329098,200587273,0.066752,0.037562,0.362299,1763329098,200587273,-0.097400,0.056313,0.353405,1763329098,200587273,0.883810,1763329098,200587273,0.278858,1763329098,200587273,37.000000,97.000000,138.000000,22.000000,22.000000,23.000000,23.000000,24.000000,1763329098,200587273
1763329098,205512688,0.043239,0.042053,-0.058548,0.000295,0.000683,-0.000328,1763329098,205512688,-0.023645,0.026797,0.001837,-0.000325,-0.000018,0.000470,1763329098,205512688,0.113924,0.036346,0.082791,0.000614,-0.000321,0.000167,1763329098,205512688,0.066752,0.037562,0.362299,1763329098,205512688,0.066752,0.037562,0.362299,1763329098,205512688,-0.097400,0.056313,0.353405,1763329098,205512688,0.883810,1763329098,205512688,0.278858,1763329098,205512688,37.000000,97.000000,138.000000,22.000000,22.000000,23.000000,23.000000,24.000000,1763329098,205512688
