finger,function,intent,value_norm,value_scaled
th,linear,0.21608040201005024,0.21608040201005024,1.0667069901514383
th,linear,0.22110552763819097,0.22110552763819097,1.0911096413694918
th,linear,0.22613065326633167,0.22613065326633167,1.1155122925875454
th,linear,0.23115577889447236,0.23115577889447236,1.1399149438055989
th,linear,0.23618090452261306,0.23618090452261306,1.1643175950236524
th,linear,0.24120603015075376,0.24120603015075376,1.188720246241706
th,linear,0.24623115577889448,0.24623115577889448,1.2131228974597597
th,linear,0.25125628140703515,0.25125628140703515,1.237525548677813
th,linear,0.2562814070351759,0.2562814070351759,1.2619281998958667
th,linear,0.2613065326633166,0.2613065326633166,1.2863308511139202
th,linear,0.2663316582914573,0.2663316582914573,1.3107335023319737
th,linear,0.271356783919598,0.271356783919598,1.3351361535500272
th,linear,0.2763819095477387,0.2763819095477387,1.359538804768081
th,linear,0.2814070351758794,0.2814070351758794,1.3839414559861343
th,linear,0.2864321608040201,0.2864321608040201,1.408344107204188
th,linear,0.2914572864321608,0.2914572864321608,1.4327467584222413
th,linear,0.2964824120603015,0.2964824120603015,1.457149409640295
th,linear,0.30150753768844224,0.30150753768844224,1.4815520608583486
th,linear,0.3065326633165829,0.3065326633165829,1.505954712076402
th,linear,0.31155778894472363,0.31155778894472363,1.5303573632944556
th,linear,0.3165829145728643,0.3165829145728643,1.5547600145125091
th,linear,0.32160804020100503,0.32160804020100503,1.5791626657305626
th,linear,0.32663316582914576,0.32663316582914576,1.6035653169486164
th,linear,0.3316582914572864,0.3316582914572864,1.6279679681666697
th,linear,0.33668341708542715,0.33668341708542715,1.6523706193847234
th,linear,0.3417085427135678,0.3417085427135678,1.6767732706027767
th,linear,0.34673366834170855,0.34673366834170855,1.7011759218208304
th,linear,0.35175879396984927,0.35175879396984927,1.725578573038884
th,linear,0.35678391959798994,0.35678391959798994,1.7499812242569375
th,linear,0.36180904522613067,0.36180904522613067,1.774383875474991
th,linear,0.36683417085427134,0.36683417085427134,1.7987865266930445
th,linear,0.37185929648241206,0.37185929648241206,1.823189177911098
th,linear,0.3768844221105528,0.3768844221105528,1.8475918291291518
th,linear,0.38190954773869346,0.38190954773869346,1.871994480347205
th,linear,0.3869346733668342,0.3869346733668342,1.8963971315652588
