t_sec,t_nanosec,s1_fx,s1_fy,s1_fz,s1_tx,s1_ty,s1_tz,s1_stamp_sec,s1_stamp_nsec,s2_fx,s2_fy,s2_fz,s2_tx,s2_ty,s2_tz,s2_stamp_sec,s2_stamp_nsec,s3_fx,s3_fy,s3_fz,s3_tx,s3_ty,s3_tz,s3_stamp_sec,s3_stamp_nsec,ee_if_px,ee_if_py,ee_if_pz,ee_if_stamp_sec,ee_if_stamp_nsec,ee_mf_px,ee_mf_py,ee_mf_pz,ee_mf_stamp_sec,ee_mf_stamp_nsec,ee_th_px,ee_th_py,ee_th_pz,ee_th_stamp_sec,ee_th_stamp_nsec,deform_ecc,deform_ecc_stamp_sec,deform_ecc_stamp_nsec,emg_ch1,emg_ch2,emg_ch3,emg_ch4,emg_ch5,emg_ch6,emg_ch7,emg_ch8,emg_stamp_sec,emg_stamp_nsec
1763745975,422128357,-3.185767,2.193884,-0.385179,-0.010391,-0.069582,0.024634,1763745975,422128357,-2.357236,-0.666535,-0.941764,0.003115,-0.057945,-0.026070,1763745975,422128357,-0.100930,0.646312,-5.164003,-0.016400,-0.028702,-0.006247,1763745975,422128357,0.000150,-0.030048,0.391989,1763745975,422128357,-0.000943,-0.001519,0.418212,1763745975,422128357,-0.011869,0.006825,0.386572,1763745975,422128357,0.475551,1763745975,422128357,214.000000,246.000000,727.000000,320.000000,78.000000,40.000000,172.000000,57.000000,1763745975,422128357
1763745975,427046339,-3.169767,2.167884,-0.440179,-0.010241,-0.069472,0.024924,1763745975,427046339,-2.378236,-0.693535,-0.895764,0.003275,-0.057905,-0.026480,1763745975,427046339,-0.123930,0.666312,-5.154003,-0.016600,-0.028822,-0.006497,1763745975,427046339,0.000150,-0.030048,0.391989,1763745975,427046339,-0.000943,-0.001519,0.418212,1763745975,427046339,-0.011869,0.006825,0.386572,1763745975,427046339,0.475551,1763745975,427046339,214.000000,246.000000,727.000000,320.000000,78.000000,40.000000,172.000000,57.000000,1763745975,427046339
1763745975,431546919,-3.164767,2.188884,-0.392179,-0.010381,-0.069332,0.025084,1763745975,431546919,-2.381236,-0.715535,-0.892764,0.003315,-0.057995,-0.026050,1763745975,431546919,-0.119930,0.672312,-5.169003,-0.016440,-0.028872,-0.006077,1763745975,431546919,0.000150,-0.030048,0.391989,1763745975,431546919,-0.000943,-0.001519,0.418212,1763745975,431546919,-0.011869,0.006825,0.386572,1763745975,431546919,0.478044,1763745975,431546919,214.000000,246.000000,727.000000,320.000000,78.000000,40.000000,172.000000,57.000000,1763745975,431546919
1763745975,437368849,-3.174767,2.176884,-0.404179,-0.010381,-0.069402,0.024744,1763745975,437368849,-2.374236,-0.709535,-0.906764,0.003285,-0.057865,-0.025450,1763745975,437368849,-0.107930,0.665312,-5.165003,-0.016530,-0.028652,-0.006117,1763745975,437368849,0.000150,-0.030157,0.391888,1763745975,437368849,-0.000751,-0.001408,0.417905,1763745975,437368849,-0.011861,0.006820,0.386572,1763745975,437368849,0.478044,1763745975,437368849,214.000000,246.000000,727.000000,320.000000,78.000000,40.000000,172.000000,57.000000,1763745975,437368849
1763745975,442294296,-3.171767,2.165884,-0.423179,-0.010181,-0.069292,0.024734,1763745975,442294296,-2.384236,-0.711535,-0.904764,0.003295,-0.058175,-0.025850,1763745975,442294296,-0.093930,0.672312,-5.143003,-0.016500,-0.028652,-0.006087,1763745975,442294296,0.000150,-0.030157,0.391888,1763745975,442294296,-0.000751,-0.001408,0.417905,1763745975,442294296,-0.011861,0.006820,0.386572,1763745975,442294296,0.478044,1763745975,442294296,214.000000,246.000000,727.000000,320.000000,78.000000,40.000000,172.000000,57.000000,1763745975,442294296
1763745975,446419657,-3.182767,2.164884,-0.429179,-0.010291,-0.069572,0.024444,1763745975,446419657,-2.367236,-0.714535,-0.865764,0.003195,-0.057935,-0.026210,1763745975,446419657,-0.111930,0.680312,-5.165003,-0.016530,-0.028722,-0.006857,1763745975,446419657,0.000150,-0.030157,0.391888,1763745975,446419657,-0.000751,-0.001408,0.417905,1763745975,446419657,-0.011861,0.006820,0.386572,1763745975,446419657,0.478044,1763745975,446419657,140.000000,273.000000,792.000000,375.000000,80.000000,41.000000,250.000000,53.000000,1763745975,446419657
1763745975,451559915,-3.170767,2.172884,-0.369179,-0.010311,-0.069482,0.025904,1763745975,451559915,-2.366236,-0.689535,-0.912764,0.003195,-0.057865,-0.026750,1763745975,451559915,-0.121930,0.694312,-5.135003,-0.016680,-0.028722,-0.006427,1763745975,451559915,0.000150,-0.030157,0.391888,1763745975,451559915,-0.000751,-0.001408,0.417905,1763745975,451559915,-0.011861,0.006820,0.386572,1763745975,451559915,0.478044,1763745975,451559915,140.000000,273.000000,792.000000,375.000000,80.000000,41.000000,250.000000,53.000000,1763745975,451559915
1763745975,457066729,-3.179767,2.189884,-0.392179,-0.010391,-0.069512,0.024584,1763745975,457066729,-2.365236,-0.683535,-0.880764,0.003425,-0.058025,-0.025720,1763745975,457066729,-0.126930,0.647312,-5.187003,-0.016460,-0.028562,-0.006147,1763745975,457066729,0.000150,-0.030157,0.391888,1763745975,457066729,-0.000751,-0.001408,0.417905,1763745975,457066729,-0.011861,0.006820,0.386572,1763745975,457066729,0.478044,1763745975,457066729,140.000000,273.000000,792.000000,375.000000,80.000000,41.000000,250.000000,53.000000,1763745975,457066729
1763745975,461957075,-3.161767,2.166884,-0.352179,-0.010361,-0.069392,0.024574,1763745975,461957075,-2.370236,-0.680535,-0.890764,0.003165,-0.058075,-0.026060,1763745975,461957075,-0.074930,0.657312,-5.183003,-0.016520,-0.028492,-0.006327,1763745975,461957075,0.000150,-0.030157,0.391888,1763745975,461957075,-0.000751,-0.001408,0.417905,1763745975,461957075,-0.011861,0.006820,0.386572,1763745975,461957075,0.483034,1763745975,461957075,140.000000,273.000000,792.000000,375.000000,80.000000,41.000000,250.000000,53.000000,1763745975,461957075
1763745975,467134577,-3.173767,2.173884,-0.386179,-0.010401,-0.069632,0.025164,1763745975,467134577,-2.356236,-0.688535,-0.883764,0.003175,-0.058035,-0.026730,1763745975,467134577,-0.087930,0.673312,-5.162003,-0.016430,-0.028542,-0.005917,1763745975,467134577,0.000150,-0.030157,0.391888,1763745975,467134577,-0.000751,-0.001408,0.417905,1763745975,467134577,-0.011861,0.006820,0.386572,1763745975,467134577,0.483034,1763745975,467134577,123.000000,245.000000,788.000000,392.000000,66.000000,36.000000,241.000000,47.000000,1763745975,467134577
